id,title,genre,release_year,rating
1,Agency know,Drama,1998,7.58
2,Face information man,Drama,1987,7.42
3,Hit,Thriller,1969,6.32
4,Imagine Mr,Comedy,1979,7.58
5,Pretty ball,Crime,1984,6.01
6,Front room break,Musical,1995,7.64
7,Mention put,Drama,1978,7.7
8,Hundred,Musical,2004,5.68
9,Maybe some,Comedy,1950,7.12
10,Perform address room,Fantasy,1970,6.78
11,Establish lay,Action,1989,8.25
12,Piece audience,Comedy,1947,7.96
13,This draw,Action,1955,6.52
14,Some choice public,Action,1948,7.03
15,Four structure however,Drama,1996,8.11
16,Partner issue,Action,1951,7.42
17,Right form,Animation,2012,6.47
18,Despite team,Drama,1977,9.03
19,Head nation,Drama,2006,5.11
20,Young grow beautiful,Drama,2009,5.58
21,Decision design,Animation,1981,7.76
22,High attack scientist,Fantasy,1946,5.23
23,View long home,Fantasy,1979,6.99
24,His practice move,Action,1980,6.91
25,Money should,Action,2016,7.76
26,Network nature six,Animation,1991,6.65
27,Activity major result,Crime,1944,5.83
28,College southern would,Crime,1992,5.23
29,Suddenly,Drama,1982,7.12
30,So stock fund,Sci-Fi,1977,7.07
31,Process company,Sci-Fi,1986,6.72
32,Activity apply,Drama,2022,5.51
33,Executive conference,Drama,2003,5.97
34,Article Mr,Comedy,2008,5.98
35,Season example professor,Crime,1955,6.75
36,Event today,Fantasy,1969,6.7
37,Commercial white would,Comedy,2005,6.42
38,Hard give,Musical,1952,6.15
39,Kid than crime,Comedy,1977,8.11
40,Whole beautiful rich seven,Drama,1981,6.83
41,Paper indeed,Animation,1972,7.33
42,Magazine gas,Crime,1992,5.08
43,Role stand paper,Animation,1977,7.46
44,Business husband,Drama,2006,5.32
45,Research know window,Sci-Fi,2011,9.2
46,Memory today take,Animation,1956,8.3
47,Per parent,Animation,2021,8.27
48,Card speak drop,Musical,1958,6.69
49,Policy person,Comedy,1987,7.47
50,Effort without,Animation,2015,7.06
51,Year reduce example,Crime,1956,7.73
52,Indeed season,Thriller,1987,6.43
53,Grow daughter,Drama,2009,8.23
54,Speak question,Sci-Fi,1978,6.71
55,For job,Musical,1948,6.29
56,Building be,Crime,1983,6.3
57,Eat ever,Fantasy,2016,7.43
58,Section research like,Action,1947,8.06
59,Argue this,Drama,1971,6.4
60,Wish ten door,Comedy,2006,6.71
61,Start,Drama,1954,9.87
62,Market together sign spring,Animation,1944,7.83
63,Local fight,Drama,1948,8.36
64,No mouth,Animation,1983,8.23
65,Require generation far,Sci-Fi,1942,7.29
66,Expert,Comedy,1967,8.78
67,Common thing set,Drama,1987,7.13
68,Whether least enough,Drama,2023,8.27
69,Beautiful score,Action,1987,6.11
70,Gas tell of,Sci-Fi,1993,5.85
71,Forward,Action,1949,5.94
72,Last notice outside put,Action,1964,6.44
73,Can cause small edge,Comedy,1949,5.82
74,Sell garden talk seek,Animation,2019,6.96
75,Rise wife capital,Drama,1944,5.04
76,Of system sure,Thriller,1994,7.47
77,Several senior,Crime,1960,7.76
78,Firm,Action,1991,5.94
79,Political all,Musical,2016,6.54
80,Political budget least,Thriller,2021,6.07
81,Type moment,Fantasy,1943,7.23
82,Almost market number something,Fantasy,1960,8.31
83,Explain his turn,Animation,1951,7.59
84,Road time,Comedy,1951,7.01
85,Wait body,Animation,1965,6.79
86,Husband,Drama,1986,7.26
87,Night special,Sci-Fi,1994,6.88
88,Plant,Fantasy,2020,7.25
89,Small,Comedy,2023,6.89
90,Structure,Crime,1959,7.96
91,Miss administration,Drama,1971,9.62
92,Series country,Animation,2015,7.73
93,Almost political,Fantasy,2007,6.98
94,My wear subject,Drama,1988,7.17
95,First responsibility matter painting,Animation,1996,8.29
96,Arrive,Drama,1953,5.57
97,Shoulder contain add,Animation,2024,7.15
98,Left need,Action,1994,5.86
99,Letter lawyer opportunity,Thriller,1942,6.42
100,Machine special red,Comedy,2008,5.85
101,Plan security,Crime,1997,7.73
102,Country job,Animation,1977,6.34
103,Need visit,Comedy,1999,4.71
104,Also page,Fantasy,1981,7.06
105,Traditional million value,Fantasy,1957,6.79
106,About trial large,Comedy,1966,6.14
107,Law strong evidence,Thriller,1949,6.97
108,Sense each social,Drama,2019,6.27
109,Range bank security,Thriller,1997,5.01
110,Realize meet relationship,Fantasy,1946,7.72
111,Democrat kid,Animation,2006,7.85
112,Whom professional,Action,1943,5.48
113,Accept computer collection,Musical,1977,5.82
114,Because read,Comedy,1969,7.12
115,Current contain,Comedy,1941,7.68
116,Whatever there talk PM,Sci-Fi,1961,7.46
117,Put,Musical,1980,7.26
118,Style career,Drama,2017,7.2
119,Work clear on already,Sci-Fi,1990,6.44
120,Case most,Comedy,1997,5.91
121,Yourself technology,Action,1986,7.78
122,Dream tax,Thriller,2014,7.01
123,Report protect,Action,1943,6.69
124,Gun easy behind ready,Sci-Fi,1952,8.42
125,Later ever health,Thriller,2021,9.07
126,Still total wait,Musical,2017,6.15
127,Argue camera begin short,Drama,1952,8.44
128,Friend military,Sci-Fi,1981,6.84
129,Blood nor,Crime,1952,8.93
130,A,Drama,2003,7.71
131,Southern,Drama,2010,7.68
132,Season by great,Drama,1956,6.92
133,You look pretty,Crime,1975,5.21
134,Goal,Drama,1977,5.88
135,Statement,Sci-Fi,1998,8.72
136,Big although day set,Thriller,2004,7.27
137,Easy,Crime,1991,8.12
138,Past street than,Animation,2010,5.88
139,Article population approach,Comedy,1950,6.69
140,Field too although service,Comedy,1966,6.96
141,Statement pull add,Musical,2009,7.05
142,Four kitchen,Fantasy,2000,7.73
143,Think themselves,Comedy,1984,7.82
144,Others center,Sci-Fi,1982,7.69
145,Challenge,Drama,1952,6.99
146,Size not likely,Thriller,1949,5.96
147,Hour challenge nation,Comedy,1978,8.25
148,With record,Action,1961,6.48
149,Herself read affect,Fantasy,1966,7.41
150,Finish today billion,Musical,2014,8.99
151,Stage seek detail adult,Action,1959,6.84
152,Many indicate,Comedy,2023,7.52
153,Audience value,Musical,1961,6.09
154,Husband adult response,Animation,1962,7.46
155,There voice,Fantasy,1958,8.81
156,Even center experience,Sci-Fi,2008,7.7
157,Experience smile,Comedy,1993,5.3
158,Big bill,Musical,1942,7.39
159,Camera science operation thought,Fantasy,1993,7.26
160,Mouth develop method,Drama,1992,7.06
161,Case read wide,Drama,1996,5.96
162,Nice certain effort,Animation,1959,7.16
163,Late parent it,Animation,1971,7.61
164,Own none kitchen,Action,1980,5.63
165,Can get a,Fantasy,1996,7.7
166,Later,Thriller,1957,8.17
167,Man under town,Fantasy,1941,6.51
168,Determine under,Comedy,1991,6.86
169,Wonder process small build,Fantasy,1964,5.92
170,Answer require,Thriller,2010,5.02
171,Represent major,Sci-Fi,1959,7.07
172,Service leg economic,Comedy,1994,7.79
173,Assume town ball,Thriller,1951,5.87
174,Agency decide seek,Crime,2000,7.34
175,However though,Sci-Fi,2017,7.39
176,Health establish,Comedy,2021,8.05
177,Black point from,Comedy,1993,5.68
178,Probably push,Musical,1997,8.69
179,Town discussion,Animation,1991,7.48
180,Need capital set,Animation,1966,7.52
181,What current loss,Crime,2007,8.14
182,Cup far,Thriller,2023,8.42
183,Team use eight,Action,1953,6.57
184,Dream why,Crime,2006,5.9
185,Success poor,Action,1992,5.6
186,Trip hope do,Sci-Fi,1974,7.82
187,Executive business,Action,1991,6.65
188,Against mission,Musical,1998,7.65
189,Kid interest,Animation,1991,7.5
190,Explain its,Action,1967,6.31
191,Certain alone time,Comedy,1996,5.94
192,Must fly pick,Animation,1990,7.05
193,Though,Crime,2002,5.49
194,Mother happy election truth,Crime,2010,4.72
195,Leg structure window,Animation,1959,7.19
196,Dinner firm,Fantasy,1989,7.96
197,Likely,Action,1973,8.15
198,Receive national while,Drama,1999,6.98
199,Mother start,Fantasy,2004,7.26
200,Different bit,Thriller,1985,4.54
201,Air want board,Action,1993,9.21
202,Strategy buy,Musical,1972,6.13
203,Right computer nothing,Drama,1949,7.16
204,Economy,Action,1995,5.21
205,Talk data,Action,1969,6.93
206,Around test,Thriller,1944,6.17
207,While nation finish,Crime,1977,6.01
